Country Code,Change,Description of Change,Date Issued,Source
KH,"Name changes: KH-18, KH-23, KH-24. Local variations added: KH-01, KH-02, KH-03, KH-05, KH-06, KH-08, KH-09, KH-10, KH-11, KH-14, KH-15, KH-16, KH-17, KH-18, KH-19, KH-20, KH-21, KH-22, KH-23.","Change of subdivision name of KH-18, KH-23, KH24; Correction of the romanization system label; Addition of local variation of KH-01, KH-02, KH-03, KH-05, KH-06, KH-08, KH-09, KH-10, KH-11, KH-14, KH-15, KH-16, KH-17, KH-18, KH-19, KH-20, KH-21, KH-22, KH-23.",2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KH.
KH,Change of spelling of KH-25.,,2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KH.
KH,"Category changes: KH-18, KH-23, KH-24. autonomous municipality -> province. Subdivision added: KH-25.","Change of subdivision category from autonomous municipalities to provinces for KH-18, KH-23, KH-24; addition of province KH-25, update List Source.",2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KH.
KH,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KH.
KI,Alignment of the French short name lower case with UNTERM; update of the remarks in French.,,2014-12-18,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KI.
KI,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KI.
KI,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KI.
KI,"Addition of administrative language Gilbertese (-, gil).",,2009-03-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KI.
KM,"Consistency between ISO 3166-1 and ISO 3166-2, addition of names in administrative languages, and update of the administrative structure and of the list source.",,2010-06-30,Newsletter II-2 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-2_2010-06-30.pdf.
KM,"Addition of administrative language Shikomor (-,-).",,2009-01-07,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KM.
KM,Alignment of the English short name lower case with UNTERM.,,2014-12-18,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KM.
KM,Correction of subdivision category in ara replacing jazā’ir (plural) with jazīrah (singular).,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KM.
KM,Correction of quotation marks in the remark.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KM.
KM,Correction of the Remarks to Parts 1 and 2 concerning the language code “002” to read “The language code '002' refers to the administrative language “Shikomor” that has not been assigned an ISO 639 language code.,,2015-02-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KM.
KM,Correction of the romanization system label.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KM.
KN,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KN.
KN,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KN.
KN,,,2013-08-22,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KN.
KN,Addition of the country code prefix as the first code element.,,2010-02-03 (corrected 2010-02-19),Newsletter II-1 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-1_corrected_2010-02-19.pdf.
KN,"Subdivisions added: 2 states, 14 parishes.",Addition of the administrative subdivisions and of their code elements.,2007-04-17,Newsletter I-8 - https://web.archive.org/web/20081218103230/http://www.iso.org/iso/iso_3166-2_newsletter_i-8_en.pdf.
KP,Subdivisions added: KP-NAJ Najin Sonbong-si.,Addition of one special city. Subdivision categories in header re-sorted.,2002-12-10,Newsletter I-4 - https://web.archive.org/web/20081218103210/http://www.iso.org/iso/iso_3166-2_newsletter_i-4_en.pdf.
KP,Subdivisions deleted: KP-KAE Kaesong-si. KP-NAM Nampo-si. Codes: format changed .,"Administrative update, replacement of alphabetical characters with numeric characters in second code element.",2010-02-03 (corrected 2010-02-19),Newsletter II-1 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-1_corrected_2010-02-19.pdf.
KP,Deletion of the space between 'de' and the parenthesis in the short French name lower case.,,2014-12-18,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KP.
KP,Spelling correction in header of list source.,,2004-03-08,Newsletter I-6 - https://web.archive.org/web/20120112041245/http://www.iso.org/iso/iso_3166-2_newsletter_i-6_en.pdf.
KP,Correction of the romanization system label.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KP.
KP,Addition of metropolitan city KP-15; Update List Source.,,2022-11-29,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KP.
KP,Change of short name upper case in eng: replace the parentheses with a coma.,,2024-02-29,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KP.
KP,"Change of spelling of KP-10, KP-13 (McCune-Reischauer, 1939); addition of metropolitan city KP-14; update List Source.",,2017-11-23,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KP.
KR,Change of category name from province to special self-governing province for KR-42; Update List Source.,,2023-11-23,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KR.
KR,Correction of the romanization system label.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KR.
KR,"Deletion of the romanization systems 'ISO/TR 11941' and 'Ministry of Home Affairs, Republic of Korea 1984'; move the short or contracted forms of subdivision names to local variation; deletion of the remark part 2.",,2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KR.
KR,Change to national romanization system and add short forms in brackets; add one special self-governing city; update List Source.,,2014-10-31,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KR.
KR,Correction of 1 spelling mistake. Update of the source information.,,2000-06-21,Newsletter I-1 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_i-1_en.pdf.
KW,Swap subdivision name with local variation of KW-KU.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KW.
KW,Administrative name update and list source update.,,2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
KW,Subdivisions added: KW-MU Mubārak al Kabīr.,Second edition of ISO 3166-2 (this change was not announced in a newsletter) - 'Statoid Newsletter January 2008' - http://www.statoids.com/n0801.html.,2007-12-13,ISO 3166-2:2007 - http://www.iso.org/iso/iso_catalogue/catalogue_tc/catalogue_detail.htm?csnumber=39718.
KY,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KY.
KZ,Error correction: Various spelling corrections.,,2002-08-20,Newsletter I-3 - https://web.archive.org/web/20081218103236/http://www.iso.org/iso/iso_3166-2_newsletter_i-3_en.pdf.
KZ,Subdivisions added: KZ-AST Astana.,Addition of one city. Nine name spellings corrected. List source updated.,2002-05-21,Newsletter I-2 - https://web.archive.org/web/20120131102127/http://www.iso.org/iso/iso_3166-2_newsletter_i-2_en.pdf.
KZ,Subdivisions deleted: KZ-BAY Bayqongyr.,Removal of one city from the list (Bayqongyr).,2002-12-10,Newsletter I-4 - https://web.archive.org/web/20081218103210/http://www.iso.org/iso/iso_3166-2_newsletter_i-4_en.pdf.
KZ,Subdivisions added: KZ-BAY.,Addition of city KZ-BAY; update List Source.,2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KZ.
KZ,"Subdivision added: KZ-SHY. Name change: KZ-YUZ Ongtüstik Qazaqstan oblysy (kk), Yuzhno-Kazakhstankaya oblast' (ru BGN/PCGN), Južno-Kazahstankaja oblast' (ru GOST) -> Türkistan oblysy (kk), Turkestankaya oblast' (ru BGN/PCGN), Turkestanskaja oblast' (ru GOST).",Correction of the romanization system label; Addition of city KZ-SHY; Change of subdivision name of KZ-YUZ; Update List Source.,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KZ.
KZ,Subdivision deleted: KZ-BAY Bayqongyr. Name change: KZ-AST Astana -> Nur-Sultan.,Deletion of city KZ-BAY; Change of subdivision name of KZ‐AST; Correction of the Code Source; Update List Source.,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KZ.
KZ,"Codes changed: KZ-ALA -> KZ-75. KZ-AST -> KZ-71. KZ-SHY -> KZ-79. KZ-ALM -> KZ-19. KZ-AKM -> KZ-11. KZ-AKT -> KZ-15. KZ-ATY -> KZ-23. KZ-VOS -> KZ-63. KZ-MAN -> KZ-47. KZ-SEV -> KZ-59. KZ-YUZ -> KZ-61. KZ-PAV -> KZ-55. KZ-KAR -> KZ-35. KZ-KUS -> KZ-39. KZ-KZY -> KZ-43. KZ-ZAP -> KZ-27. KZ-ZHA -> KZ-31. Subdivisions added: KZ-10, KZ-33, and KZ-62. Name change: KZ-71 Nur-Sultan -> Astana.","Change of subdivision code from KZ-ALA to KZ-75, KZ-AST to KZ-71, KZ-SHY to KZ-79, KZ-ALM to KZ-19, KZ-AKM to KZ-11, KZ-AKT to KZ-15, KZ-ATY to KZ-23, KZ-VOS to KZ-63, KZ-MAN to KZ-47, KZ-SEV to KZ-59, KZ-YUZ to KZ-61, KZ-PAV to KZ-55, KZ-KAR to KZ-35, KZ-KUS to KZ-39, KZ-KZY to KZ-43, KZ-ZAP to KZ-27, KZ-ZHA to KZ-31; Addition of region KZ-10, KZ-33, KZ-62; Change of subdivision name for KZ-71 in kaz and rus; Update List Source; Update Code Source.",2022-11-29,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:KZ.
LA,Correction of the Code Source.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LA.
LA,Modification of the French short name lower case.,,2019-02-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LA.
LA,Correction of the romanization system label.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LA.
LA,"Addition of local variation of LA-AT, LA-BL, LA-CH, LA-HO, LA-KH, LA-LM, LA-LP, LA-OU, LA-PH, LA-SL, LA-SV, LA-XA, LA-XE, LA-XI, LA-XS; update List Source.",,2017-11-23,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LA.
LA,"Deletion of the romanization system 'Taken from old French maps still in use in the Lao People's Democratic Republic'; addition of romanization system “Lao Commission Nationale de Toponymie (CNT)”; change of spelling of LA-VT, LA-VI; addition of local variation of LA-VT, LA-VI; change of the romanization system of LA-VT, LA-AT, LA-BK, LA-BL, LA-CH, LA-O, A-KH, LA-LM, LA-LP, LA-OU, LA-PH, LA-SL, LA-SV, LA-VI, LA-XA, LA-XS, LA-XE, LA-XI, LA-XI.",,2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LA.
LA,Deletion of special zone LA-XN; addition of province LA-XS; update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LA.
LA,Change spelling of LA-XI; update List Source.,,2014-10-31,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LA.
LA,Error correction: Generic name of one subdivision changed to 'special zone'.,,2002-12-10,Newsletter I-4 - https://web.archive.org/web/20081218103210/http://www.iso.org/iso/iso_3166-2_newsletter_i-4_en.pdf.
LA,Subdivisions added: LA-XN Xaisômboun.,One new province added. One new reference for the list source. One code source cancelled. Information on romanization system updated. Origin of names in brackets given.,2002-05-21,Newsletter I-2 - https://web.archive.org/web/20120131102127/http://www.iso.org/iso/iso_3166-2_newsletter_i-2_en.pdf.
LB,Subdivisions added: LB-AK Aakkâr. LB-BH Baalbek-Hermel.,Addition of administrative subdivisions and of their code elements.,2007-11-28,Newsletter I-9 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/newsletter_i-9.pdf.
LB,Correction of the romanization system label.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LB.
LC,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LC.
LC,Change subdivision category to district; add 1 district LC-12; delete 2 districts LC-04 and LC-09; update List Source.,,2014-10-31,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LC.
LC,Subdivisions added: 11 quarters.,Second edition of ISO 3166-2 (this change was not announced in a newsletter) - 'Statoid Newsletter January 2008' - http://www.statoids.com/n0801.html.,2007-12-13,ISO 3166-2:2007 - http://www.iso.org/iso/iso_catalogue/catalogue_tc/catalogue_detail.htm?csnumber=39718.
LI,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LI.
LI,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LI.
LI,Subdivisions added: 11 communes.,Addition of the administrative subdivisions and of their code elements.,2007-04-17,Newsletter I-8 - https://web.archive.org/web/20081218103230/http://www.iso.org/iso/iso_3166-2_newsletter_i-8_en.pdf.
LK,"Correction of parent subdivision of LK-11, LK-12, LK-13, LK-21, LK-22, LK-23, LK-31, LK-32, LK-41, LK-43, LK-44, LK-45, LK-51, LK-52, LK-53, LK-61, LK-62, LK-71, LK-81, LK-82, LK-91, LK-92; Update List Source.",,2019-11-22,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LK.
LK,Correction of the romanization system label.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LK.
LK,Alignment of the French short name lower case with UNTERM; update of the remarks in French.,,2014-12-18,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LK.
LK,Add administrative language.,,2012-08-02,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LK.
LK,"Addition of the country code prefix as the first code element, addition of names in administrative languages.",,2010-02-03 (corrected 2010-02-19),Newsletter II-1 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-1_corrected_2010-02-19.pdf.
LR,Change of spelling and addition of local variation of LR-RI; update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LR.
LR,Subdivisions added: LR-GP Gbarpolu. LR-RG River Gee.,Second edition of ISO 3166-2 (this change was not announced in a newsletter) - 'Statoid Newsletter January 2008' - http://www.statoids.com/n0801.html.,2007-12-13,ISO 3166-2:2007 - http://www.iso.org/iso/iso_catalogue/catalogue_tc/catalogue_detail.htm?csnumber=39718.
LS,"Addition of local generic administrative term, update of the official languages according to ISO 3166-2 and source list update.",,2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
LS,Change of spelling of LS-B; Addition of local variation of LS-B; Update List Source.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LS.
LT,Subdivisions renamed: LT-05 Birštono -> Birštonas. LT-14 Kalvarijos -> Kalvarija. LT-39 Rietavo -> Rietavas.,"Change of spelling of LT-05, LT-14, LT-39; Assign parent subdivision to LT-01 through LT-60; Update List Source.",2021-11-25,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LT.
LT,"Addition of 7 city municipalities, 44 district municipalities, and 9 municipalities.",,2014-10-31,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LT.
LU,"Addition of cantons LU-CA, LU-CL, LU-DI, LU-EC, LU-ES, LU-GR, LU-LU, LU-ME, LU-RD, LU-RM, LU-VD, LU-WI; update List Source.",,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LU.
LU,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LU.
LV,Subdivisions added: LV-111 Augšdaugavas novads. LV-112 Dienvidkurzemes Novads. LV-113 Valmieras Novads. Subdivisions deleted: LV-JKB Jēkabpils. LV-VMR Valmiera. LV-001 Aglonas novads. LV-003 Aizputes novads. LV-004 Aknīstes novads. LV-005 Alojas novads. LV-006 Alsungas novads. LV-008 Amatas novads. LV-009 Apes novads. LV-010 Auces novads. LV-012 Babītes novads. LV-013 Baldones novads. LV-014 Baltinavas novads. LV-017 Beverīnas novads. LV-018 Brocēnu novads. LV-019 Burtnieku novads. LV-020 Carnikavas novads. LV-021 Cesvaines novads. LV-023 Ciblas novads. LV-024 Dagdas novads. LV-025 Daugavpils novads. LV-027 Dundagas novads. LV-028 Durbes novads. LV-029 Engures novads. LV-030 Ērgļu novads. LV-031 Garkalnes novads. LV-032 Grobiņas novads. LV-034 Iecavas novads. LV-035 Ikšķiles novads. LV-036 Ilūkstes novads. LV-037 Inčukalna novads. LV-038 Jaunjelgavas novads. LV-039 Jaunpiebalgas novads. LV-040 Jaunpils novads. LV-043 Kandavas novads. LV-044 Kārsavas novads. LV-045 Kocēnu novads. LV-046 Kokneses novads. LV-048 Krimuldas novads. LV-049 Krustpils novads. LV-051 Ķeguma novads. LV-053 Lielvārdes novads. LV-055 Līgatnes novads. LV-057 Lubānas novads. LV-060 Mazsalacas novads. LV-061 Mālpils novads. LV-063 Mērsraga novads. LV-064 Naukšēnu novads. LV-065 Neretas novads. LV-066 Nīcas novads. LV-069 Ozolnieku novads. LV-070 Pārgaujas novads. LV-071 Pāvilostas novads. LV-072 Pļaviņu novads. LV-074 Priekules novads. LV-075 Priekuļu novads. LV-076 Raunas novads. LV-078 Riebiņu novads. LV-079 Rojas novads. LV-081 Rucavas novads. LV-082 Rugāju novads. LV-083 Rundāles novads. LV-084 Rūjienas novads. LV-085 Salas novads. LV-086 Salacgrīvas novads. LV-090 Sējas novads. LV-092 Skrīveru novads. LV-093 Skrundas novads. LV-095 Stopiņu novads. LV-096 Strenču novads. LV-098 Tērvetes novads. LV-100 Vaiņodes novads. LV-103 Vārkavas novads. LV-104 Vecpiebalgas novads. LV-105 Vecumnieku novads. LV-107 Viesītes novads. LV-108 Viļakas novads. LV-109 Viļānu novads. LV-110 Zilupes novads.,"Deletion of republican city LV-JKB, LV-VMR; Deletion of municipality LV-001, LV-003, LV-004, LV-005, LV-006, LV-008, LV-009, LV-010, LV-012, LV-013, LV-014, LV-017, LV-018, LV-019, LV-020, LV-021, LV-023, LV-024, LV-025, LV-027, LV-028, LV-029, LV-030, LV-031, LV-032, LV-034, LV-035, LV-036, LV-037, LV-038, LV-039, LV-040, LV-043, LV-044, LV-045, LV-046, LV-048, LV-049, LV-051, LV-053, LV-055, LV-057, LV-060, LV-061, LV-063, LV-064, LV-065, LV-066, LV-069, LV-070, LV-071, LV-072, LV-074, LV-075, LV-076, LV-078, LV-079, LV-081, LV-082, LV-083, LV-084, LV-085, LV-086, LV-090, LV-092, LV-093, LV-095, LV-096, LV-098, LV-100, LV-103, LV-104, LV-105, LV-107, LV-108, LV-109, LV-110; Change of category name from republican city to state city for LV-DGV, LV-JEL, LV-JUR, LV-LPX, LV-REZ, LV-RIX, LV-VEN; Addition of municipality LV-111, LV-112, LV-113; Update List Source.",2021-11-25,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LV.
LV,Subdivision layout: 26 districts -> 110 municipalities. Subdivisions added: (republican cities). LV-JKB Jēkabpils. LV-VMR Valmiera - #Codes_before_Newsletter_II-3.,Administrative re-organization and source list update.,2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
LY,Subdivision layout: 34 municipalities -> 22 popularates.,Update of the administrative structure and of the list source.,2010-06-30,Newsletter II-2 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-2_2010-06-30.pdf.
LY,Subdivision layout: 13 municipalities -> 34 municipalities.,Revision of subdivision layout. Revision of header information.,2003-09-05,Newsletter I-5 - https://web.archive.org/web/20081218103244/http://www.iso.org/iso/iso_3166-2_newsletter_i-5_en.pdf.
LY,Name change.,,2011-11-08,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LY.
LY,Change of the full name.,,2018-02-05,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LY.
LY,Change of spelling of LY-JI.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LY.
LY,"Modification of remark part 2; Correction of the Code Source. (Remark part 2: The subdivision category sha‘bīyah (popularate) is no longer used since the fall of Gaddafi. The word Muḩāfaz̧ah governorate is now sometimes used instead for these subdivisions of Libya, which are those pre-2011. The unrest in Libya means that there is no recognised current administrative structure).",,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LY.
LY,Alignment of the French short name lower case with UNTERM.,,2014-12-18,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:LY.
MA,Subdivision layout: 7 economic regions -> 16 economic regions (now called regions). Code changes: Jerada: MA-IRA -> MA-JRA.,New subdivision layout at economic region level. List source updated. Addition of one reference in the code source. Two name spellings corrected. One code corrected.,2002-05-21,Newsletter I-2 - https://web.archive.org/web/20120131102127/http://www.iso.org/iso/iso_3166-2_newsletter_i-2_en.pdf.
MA,Subdivisions added: MA-AOU Aousserd. MA-FAH Fahs-Anjra. MA-MED Médiouna. MA-MMD Marrakech-Medina. MA-MMN Marrakech-Menara. MA-MOH Mohammadia. MA-MOU Moulay Yacoub. MA-NOU Nouaceur. MA-RAB Rabat. MA-SAL Salé. MA-SKH Skhirate-Témara. MA-SYB Sidi Youssef Ben Ali. MA-TAI Taourirt. MA-ZAG Zagora. Subdivisions deleted: MA-MAR Marrakech. MA-RBA Rabat-Salé. Code changes: MA-BAH Aït Baha -> MA-CHT Chtouka-Ait Baha. MA-MEL Aït Melloul -> MA-INE Inezgane-Ait Melloul.,"Addition of the country code prefix as the first code element, addition of names in administrative languages.",2010-02-03 (corrected 2010-02-19),Newsletter II-1 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-1_corrected_2010-02-19.pdf.
MA,Change of spelling for Laâyoune.,,2004-03-08,Newsletter I-6 - https://web.archive.org/web/20120112041245/http://www.iso.org/iso/iso_3166-2_newsletter_i-6_en.pdf.
MA,Change spelling of MA-14; update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:MA.
MA,Spelling change: MA-KHE Khemisset -> Khémisset. MA-KHN Khenifra -> Khénifra. MA-TAR Taroudant -> Taroudannt.,"Change of spelling of MA-KHE, MA-KHN, MA-TAR; Deletion of an asterisk of the local variation of MA-CAS; Update List Source.",2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:MA.
MA,Spelling change: MA-05 Béni-Mellal-Khénifra -> Béni Mellal-Khénifra. Location change: MA-ESM Es-Semara (EH) -> Es-Semara (EH-partial).,Change of spelling of MA-05; Change of (EH) to (EH-partial) for MA-ESM; Correction of the romanization system label.,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:MA.
MA,Parent changes: MA-CAS MA-08 -> MA-06. MA-SET MA-08 -> MA-06. MA-SIK MA-06 -> MA-04. Spelling change: MA-03 Fès- Meknès -> Fès-Meknès.,"Correction of parent subdivision of MA-CAS, MA-SET, MA-SIK; Typographical correction of MA-03.",2019-04-09,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:MA.
